order_detail_id,order_date,product_id,customer_id,territory_id,sales_order_number,sales_order_line_number,quantity,unitprice_rupiah,totalprice_rupiah,totalcost_rupiah,shippingprice_rupiah,product_name,model_name,color,size_range,sub_category,category,customer_name,gender,maritalstatus,birthdate,customer_city,customer_country,origin_region,origin_country,origin_groups
SO43698-1,2016-07-01,346,28389.0,7,SO43698,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Rachael Martinez,F,S,1984-12-18,Pantin,France,France,France,Europe
SO43704-1,2016-07-02,351,11005.0,9,SO43704,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Julio Ruiz,M,S,1985-08-05,East Brisbane,Australia,Australia,Australia,Pacific
SO43705-1,2016-07-02,344,11011.0,9,SO43705,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Curtis Lu,M,M,1983-11-04,East Brisbane,Australia,Australia,Australia,Pacific
SO43713-1,2016-07-05,310,27601.0,4,SO43713,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Sydney Rogers,F,S,1973-11-10,Burbank,United States,Southwest,United States,North America
SO43714-1,2016-07-05,311,13591.0,10,SO43714,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Latasha Alonso,F,M,1973-05-25,York,United Kingdom,United Kingdom,United Kingdom,Europe
SO43719-1,2016-07-06,312,27612.0,4,SO43719,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Lucas Hill,M,M,1976-11-25,Berkeley,United States,Southwest,United States,North America
SO43720-1,2016-07-06,311,13264.0,8,SO43720,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Melanie Sanchez,F,M,1976-05-23,Ingolstadt,Germany,Germany,Germany,Europe
SO43721-1,2016-07-06,310,13590.0,10,SO43721,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Louis Xie,M,M,1973-05-18,York,United Kingdom,United Kingdom,United Kingdom,Europe
SO43725-1,2016-07-08,311,13258.0,8,SO43725,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Anne Dominguez,F,M,1977-03-03,Kassel,Germany,Germany,Germany,Europe
SO43728-1,2016-07-09,313,27666.0,4,SO43728,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Alyssa Garcia,F,M,1974-07-26,Fremont,United States,Southwest,United States,North America
SO43729-1,2016-07-09,346,11238.0,10,SO43729,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Mayra Prasad,F,S,1978-08-10,Birmingham,United Kingdom,United Kingdom,United Kingdom,Europe
SO43730-1,2016-07-09,346,25861.0,4,SO43730,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Garrett Cooper,M,M,1965-02-26,Woodland Hills,United States,Southwest,United States,North America
SO43732-1,2016-07-09,350,11025.0,9,SO43732,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Alejandro Beck,M,M,1965-12-23,Hawthorne,Australia,Australia,Australia,Pacific
SO43733-1,2016-07-09,312,27577.0,1,SO43733,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Patrick Cook,M,S,1978-06-04,Port Orchard,United States,Northwest,United States,North America
SO43734-1,2016-07-10,312,27604.0,1,SO43734,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Richard Brooks,M,M,1977-03-03,Port Orchard,United States,Northwest,United States,North America
SO43736-1,2016-07-10,346,11002.0,9,SO43736,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Ruben Torres,M,M,1985-08-12,Hobart,Australia,Australia,Australia,Pacific
SO43737-1,2016-07-11,311,13261.0,8,SO43737,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Lindsey Andersen,F,M,1977-04-05,Paderborn,Germany,Germany,Germany,Europe
SO43743-1,2016-07-12,347,11007.0,9,SO43743,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Marco Mehta,M,M,1984-05-09,Warrnambool,Australia,Australia,Australia,Pacific
SO43752-1,2016-07-14,311,13265.0,8,SO43752,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Luke Adams,M,S,1976-01-22,Paderborn,Germany,Germany,Germany,Europe
SO43757-1,2016-07-15,350,11017.0,9,SO43757,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Shannon Wang,F,S,1964-06-26,Sunbury,Australia,Australia,Australia,Pacific
SO43759-1,2016-07-16,310,13257.0,8,SO43759,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Jon Chander,M,M,1977-07-06,Hof,Germany,Germany,Germany,Europe
SO43762-1,2016-07-17,314,27578.0,4,SO43762,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Courtney Carter,F,M,1978-11-08,Lakewood,United States,Southwest,United States,North America
SO43765-1,2016-07-17,346,11010.0,9,SO43765,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Jacquelyn Suarez,F,S,1984-02-06,East Brisbane,Australia,Australia,Australia,Pacific
SO43767-1,2016-07-18,350,11001.0,9,SO43767,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Eugene Huang,M,S,1985-05-14,Seaford,Australia,Australia,Australia,Pacific
SO43768-1,2016-07-19,312,27649.0,1,SO43768,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Evan Bailey,M,M,1975-06-08,Seattle,United States,Northwest,United States,North America
SO43770-1,2016-07-19,312,27614.0,1,SO43770,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Warren Ye,M,M,1976-07-08,Bellingham,United States,Northwest,United States,North America
SO43775-1,2016-07-19,347,11027.0,9,SO43775,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Jessie Zhao,M,M,1966-12-07,Warrnambool,Australia,Australia,Australia,Pacific
SO43776-1,2016-07-20,314,13260.0,8,SO43776,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,James Flores,M,M,1977-10-09,Neunkirchen,Germany,Germany,Germany,Europe
SO43778-1,2016-07-20,345,11018.0,9,SO43778,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 42",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Clarence Rai,M,S,1964-10-09,Bendigo,Australia,Australia,Australia,Pacific
SO43787-1,2016-07-22,344,29385.0,8,SO43787,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Don Lal,M,S,1983-03-05,Berlin,Germany,Germany,Germany,Europe
SO43788-1,2016-07-22,351,11239.0,10,SO43788,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Latoya Goel,F,M,1978-10-06,London,United Kingdom,United Kingdom,United Kingdom,Europe
SO43790-1,2016-07-22,344,25857.0,1,SO43790,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Abigail Perry,F,S,1964-09-05,W. Linn,United States,Northwest,United States,North America
SO43793-1,2016-07-22,344,11000.0,9,SO43793,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Jon Yang,M,M,1986-04-08,Rockhampton,Australia,Australia,Australia,Pacific
SO43794-1,2016-07-22,347,11029.0,9,SO43794,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Jimmy Moreno,M,M,1966-12-21,Bendigo,Australia,Australia,Australia,Pacific
SO43804-1,2016-07-25,310,13585.0,10,SO43804,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Savannah Morris,F,M,1973-05-17,Leeds,United Kingdom,United Kingdom,United Kingdom,Europe
SO43808-1,2016-07-26,313,13259.0,8,SO43808,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Allen Garcia,M,M,1977-11-07,MÃ¼nster,Germany,Germany,Germany,Europe
SO43810-1,2016-07-26,345,11004.0,9,SO43810,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 42",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Elizabeth Johnson,F,S,1988-08-08,Wollongong,Australia,Australia,Australia,Pacific
SO43811-1,2016-07-26,346,11026.0,9,SO43811,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Harold Sai,M,S,1966-04-03,Goulburn,Australia,Australia,Australia,Pacific
SO43813-1,2016-07-27,350,28390.0,7,SO43813,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Frederick Suri,M,S,1984-04-02,Colombes,France,France,France,Europe
SO43819-1,2016-07-27,346,11006.0,9,SO43819,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Janet Alvarez,F,S,1985-12-06,Matraville,Australia,Australia,Australia,Pacific
SO43826-1,2016-07-28,348,11008.0,9,SO43826,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Rob Verhoff,F,S,1984-07-07,Bendigo,Australia,Australia,Australia,Pacific
SO43828-1,2016-07-29,310,27605.0,1,SO43828,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Miguel Martinez,M,M,1977-01-22,Sedro Woolley,United States,Northwest,United States,North America
SO43829-1,2016-07-29,310,27611.0,4,SO43829,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Jack Edwards,M,M,1976-12-03,El Cajon,United States,Southwest,United States,North America
SO43831-1,2016-07-29,349,11028.0,9,SO43831,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 42",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Jill Jimenez,F,M,1966-04-11,St. Leonards,Australia,Australia,Australia,Pacific
SO43832-1,2016-07-29,310,13584.0,10,SO43832,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Isaiah Cox,M,S,1973-08-17,Runcorn,United Kingdom,United Kingdom,United Kingdom,Europe
SO43835-1,2016-07-30,348,19802.0,6,SO43835,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Sara James,F,S,1994-07-13,Newton,Canada,Canada,Canada,North America
SO43836-1,2016-07-30,324,26620.0,6,SO43836,1,1,9787375.0,9787375.0,5784048.0,244685.0,"Road-650 Red, 62",Road-650,Red,60-62 CM,Road Bikes,Bikes,Isabella Green,F,S,1987-05-21,Shawnee,Canada,Canada,Canada,North America
SO43837-1,2016-07-30,350,11009.0,9,SO43837,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Shannon Carlson,M,S,1984-04-01,Hervey Bay,Australia,Australia,Australia,Pacific
SO43839-1,2016-07-31,311,27673.0,1,SO43839,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Jennifer Young,F,S,1973-05-23,Bremerton,United States,Northwest,United States,North America
SO43841-1,2016-07-31,314,13406.0,8,SO43841,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Craig Jiménez,M,M,1977-01-05,MÃ¼nster,Germany,Germany,Germany,Europe
SO43919-1,2016-08-01,314,12124.0,7,SO43919,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Brandi Gill,F,S,1977-02-08,Paris,France,France,France,Europe
SO43923-1,2016-08-02,312,28018.0,4,SO43923,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Rachel Foster,F,S,1965-03-21,Redwood City,United States,Southwest,United States,North America
SO43924-1,2016-08-02,310,12132.0,7,SO43924,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Kaitlyn Henderson,F,M,1975-11-19,Tremblay-en-France,France,France,France,Europe
SO43926-1,2016-08-03,351,11055.0,9,SO43926,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Gilbert Raje,M,M,1972-03-05,East Brisbane,Australia,Australia,Australia,Pacific
SO43933-1,2016-08-04,347,11031.0,9,SO43933,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Theresa Ramos,F,M,1967-08-22,Matraville,Australia,Australia,Australia,Pacific
SO43934-1,2016-08-04,346,11034.0,9,SO43934,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Ebony Gonzalez,F,M,1967-06-19,North Sydney,Australia,Australia,Australia,Pacific
SO43941-1,2016-08-06,314,13600.0,10,SO43941,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Marie Sanz,F,M,1971-02-19,Watford,United Kingdom,United Kingdom,United Kingdom,Europe
SO43944-1,2016-08-06,344,11054.0,9,SO43944,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Deanna Munoz,F,M,1972-03-10,Geelong,Australia,Australia,Australia,Pacific
SO43948-1,2016-08-06,345,11047.0,9,SO43948,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 42",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Jaclyn Lu,F,M,1970-02-27,Geelong,Australia,Australia,Australia,Pacific
SO43949-1,2016-08-07,310,27726.0,4,SO43949,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Sophia Hall,F,S,2000-03-26,Lemon Grove,United States,Southwest,United States,North America
SO43950-1,2016-08-07,311,28014.0,4,SO43950,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Rachel Robinson,F,S,1964-10-23,Beverly Hills,United States,Southwest,United States,North America
SO43954-1,2016-08-08,311,13602.0,10,SO43954,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Virginia Mehta,F,M,1970-05-17,Billericay,United Kingdom,United Kingdom,United Kingdom,Europe
SO43956-1,2016-08-08,344,11030.0,9,SO43956,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Bethany Yuan,F,M,1967-02-22,Cloverdale,Australia,Australia,Australia,Pacific
SO43959-1,2016-08-09,348,11035.0,9,SO43959,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Wendy Dominguez,F,M,1968-02-24,Cranbourne,Australia,Australia,Australia,Pacific
SO43960-1,2016-08-09,349,11046.0,9,SO43960,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 42",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Christine Yuan,F,M,1970-03-22,Lavender Bay,Australia,Australia,Australia,Pacific
SO43965-1,2016-08-10,351,11038.0,9,SO43965,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Diana Hernandez,F,M,1968-03-23,Lavender Bay,Australia,Australia,Australia,Pacific
SO43966-1,2016-08-10,347,11039.0,9,SO43966,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Marc Martin,M,M,1968-12-17,Wollongong,Australia,Australia,Australia,Pacific
SO43967-1,2016-08-11,313,28040.0,1,SO43967,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Jack Mitchell,M,M,1969-02-22,Everett,United States,Northwest,United States,North America
SO43973-1,2016-08-12,312,28039.0,4,SO43973,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Xavier Lee,M,S,1968-09-02,Palo Alto,United States,Southwest,United States,North America
SO43975-1,2016-08-12,312,13540.0,8,SO43975,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Paula Ortega,F,M,1980-03-06,Erlangen,Germany,Germany,Germany,Europe
